City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
363,corrales,US,78.39,scattered clouds,35.2378,-106.6067,Quality Inn
364,gresham,US,74.43,clear sky,45.4982,-122.4315,McMenamins Edgefield
365,asyut,EG,75.45,clear sky,27.181,31.1837,Florence Hotel Assiut
366,bocas del toro,PA,84.07,overcast clouds,9.3333,-82.25,Hotel Bocas del Toro
367,sarankhola,BD,77.76,moderate rain,22.3082,89.7897,Red Crescent Cyclone Shelter Rashulpur
370,poum,NC,74.88,clear sky,-20.2333,164.0167,Gîte kajeon
371,alta floresta,BR,85.33,moderate rain,-9.8756,-56.0861,Floresta Amazonica Hotel
375,bacalar,MX,82.51,broken clouds,18.6667,-88.3833,Hotel Laguna Bacalar
376,salalah,OM,80.69,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
379,quixeramobim,BR,89.73,clear sky,-5.1992,-39.2928,"Pousada, Restaurante e Pizzaria Emídio"
382,mpulungu,ZM,76.98,overcast clouds,-8.7623,31.1141,Chela moche guest house
383,arinos,BR,94.53,broken clouds,-15.9169,-46.1056,casa do bruno
387,lao cai,VN,74.84,light rain,22.4833,103.95,Legend Hotel
389,vanimo,PG,76.73,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
390,bandarbeyla,SO,78.78,overcast clouds,9.4942,50.8122,JABIR HOTEL
391,nalut,LY,78.17,clear sky,30.3333,10.85,
392,kollam,IN,78.67,overcast clouds,8.8833,76.6,Nani Hotels and Resorts
393,kiunga,PG,70.7,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
395,kattivakkam,IN,82.49,few clouds,13.2167,80.3167,Euronova Freezer
396,guarapari,BR,78.69,clear sky,-20.6667,-40.4975,Hotel Porto do Sol
398,fort dodge,US,76.44,clear sky,42.4975,-94.168,"Country Inn & Suites by Radisson, Fort Dodge, IA"
400,puro,PH,78.06,moderate rain,12.4841,123.3827,
401,blytheville,US,82.54,few clouds,35.9273,-89.919,Days Inn by Wyndham Blytheville
403,robertsport,LR,79.97,broken clouds,6.7533,-11.3686,Kwepunha Retreat
404,tual,ID,80.65,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
409,santa rosa,PH,80.91,heavy intensity rain,14.3122,121.1114,Erlyn’s Sta Rosa City Home
410,caravelas,BR,76.3,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
411,quatre cocos,MU,72.09,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
413,cayenne,GF,86.04,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
415,vaitape,PF,78.62,scattered clouds,-16.5167,-151.75,Conrad Bora Bora Nui
