City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
493,belmonte,BR,79.3,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
495,candolim,IN,80.29,scattered clouds,15.5181,73.7626,Resort Terra Paraiso
496,boende,CD,70.65,overcast clouds,-0.2167,20.8667,
497,beyla,GN,70.63,scattered clouds,8.6833,-8.6333,DIAN SINKO
498,kieta,PG,81.0,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
504,gayeri,BF,86.11,clear sky,12.6497,0.4931,
505,bacolod,PH,76.53,moderate rain,10.6667,122.95,Planta Hotel & Residences
510,rincon,US,86.18,scattered clouds,32.296,-81.2354,Days Inn Rincon
513,honiara,SB,81.27,few clouds,-9.4333,159.95,Heritage Park Hotel
518,nhulunbuy,AU,77.61,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
520,bougouni,ML,78.37,few clouds,11.417,-7.479,Non Stop
521,ranong,TH,77.92,broken clouds,9.9658,98.6348,Tinidee Hotel@Ranong
523,cristalina,BR,80.28,broken clouds,-16.7686,-47.6136,HOTEL TOPAZIO
524,yaan,NG,75.43,scattered clouds,7.3833,8.5667,
525,balotra,IN,83.37,clear sky,25.8333,72.2333,Hotel City Square
526,bosaso,SO,88.03,few clouds,11.2842,49.1816,Red Sea Hotel
527,gabu,GW,79.63,overcast clouds,12.2833,-14.2167,Hotel karsa
529,biak,ID,75.36,overcast clouds,-0.9131,122.8766,Penginapan Kim
530,alofi,NU,76.89,light rain,-19.0595,-169.9187,Taloa Heights
534,gualaquiza,EC,72.34,moderate rain,-3.4,-78.55,Hotel Merceditas
539,lahan,NP,75.63,overcast clouds,26.7296,86.4951,Hotel Durbar Pvt. Ltd.
541,pedernales,DO,81.28,overcast clouds,18.0384,-71.744,Hotel Costa Marina
542,iacu,BR,83.88,few clouds,-12.7672,-40.2117,Pousada e Restaurante Portal da Chapada
544,lagunas,PE,89.11,overcast clouds,-5.2269,-75.6753,Hospedaje Eco
546,north charleston,US,79.92,broken clouds,32.8886,-80.0075,"Crowne Plaza Charleston Airport - Conv Ctr, an IHG Hotel"
547,ada,US,81.73,clear sky,43.4166,-116.1262,
550,kinablangan,PH,76.68,overcast clouds,7.6947,126.5503,Danny Moreno Property
551,pasighat,IN,72.99,overcast clouds,28.0667,95.3333,Siang Guest House
552,beloha,MG,71.58,clear sky,-25.1667,45.05,
553,ende,ID,77.2,overcast clouds,-8.8432,121.6623,Dwi Putra Hotel - Ende
556,puerto carreno,CO,92.01,scattered clouds,6.189,-67.4859,Casa Hotel Victoria
557,kupang,ID,75.58,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
558,ambovombe,MG,71.11,clear sky,-25.1667,46.0833,RELAHARA
